id,url,title,price,price_numeric,location,listing_area_m2,listing_zone,listing_type,cost_per_sqm,lat,lng,road_distance_m,road_type,slope_pct,slope_class,district,municipality,parcel_number,sheet,plan,block,parcel_area_m2,planning_zone,planning_zone_desc,substation_el,substation_en,substation_id,hosting_capacity_mw,res_total_mw,available_capacity_mw
6213641,https://www.bazaraki.com/adv/6213641_residential-plot-840-m2/?p=38,Residential Plot 840 m²,€37.000,37000,"Limassol, Agios Therapon",840,,Residential,44.05,34.795849,32.83749,16,residential,30.7,steep,LEMESOS,AGIOS THERAPON,1484,47,58,0,690,Η3,ΚΑΤΟΙΚΙΑ,ΝΕΑ ΤΡΙΜΙΚΛΙΝΙ,NEW-TRIMIKLINI,NTRI,25.420974,25.420974,0
6046676,https://www.bazaraki.com/adv/6046676_residential-land-2930-m2/?p=75,Residential Field 2930 m²,€1.300.000,1300000,"Paphos, Tombs Of the Kings",2930,,Residential,443.69,34.77059517085289,32.41497050710578,17,secondary,1.3,flat,PAFOS,PAFOS,108,0,2-146-349,4,16377,Αα4,ΑΛΛΕΣ ΔΗΜΟΣΙΕΣ ΧΡΗΣΕΙΣ,ΧΑΤΖΗΠΑΣΧΑΛΗΣ,HADJIPA SCHALIS,HADJ,88.56,13.056824,75.503176
5060850,https://www.bazaraki.com/adv/5060850_residential-land-824-m2/?p=61,Residential land 824 m²,€650.000,650000,"Limassol, Germasogeia",824,,Residential,788.83,34.70070508337367,33.05585494475948,7,residential,0.5,flat,LEMESOS,"LEMESOS, MESA GEITONIA",,,,,,Κα5,ΠΕΡΙΟΧΕΣ ΜΕ ΕΠΙΚΡΑΤΟΥΣΑ ΧΡΗΣΗ ΤΗΝ ΚΑΤΟΙΚΙΑ,ΑΓΙΟΣ ΑΘΑΝΑΣΙΟΣ,AYIOS ATHANASIOS,ATHN,49.79,17.281313,32.508687
6110051,https://www.bazaraki.com/adv/6110051_residential-plot-762-m2/?p=7,Residential Plot 762 m²,€160.000,160000,"Nicosia, Geri",762,,Residential,209.97,35.11684548401374,33.42127479999913,5,residential,2.2,flat,LEFKOSIA,"LATSIA - GERI, GERI",95,30,16E1,3,6066,Κα7,ΠΕΡΙΟΧΕΣ ΜΕ ΕΠΙΚΡΑΤΟΥΣΑ ΧΡΗΣΗ ΤΗΝ ΚΑΤΟΙΚΙΑ,ΑΘΑΛΑΣΣΑ,ATHALASSA 132kV,ATHA,45.955909,45.955909,0
5902511,https://www.bazaraki.com/adv/5902511_residential-land-2373-m2/?p=95,Residential land 2373 m²,€1.700.000,1700000,"Limassol, Agios Tychon",2373,H5,Residential,716.39,34.72668500151546,33.13314100179539,2,residential,16.6,steep,LEMESOS,AGIOS TYCHON,,,,,,Η5,ΚΑΤΟΙΚΙΑ,ΑΜΑΘΟΥΣ,AMATHUS,AMAT,45.57,5.194365,40.375635
5909558,https://www.bazaraki.com/adv/5909558_residential-land-549-m2/?p=74,Residential Plot 549 m²,€375.000,375000,"Nicosia, Egkomi",549,,Residential,683.06,35.1590759,33.325004,47,residential,3.1,flat,LEFKOSIA,"LEFKOSIA, EGKOMI",3268,21,53W2,4,9722,Κα6,ΠΕΡΙΟΧΕΣ ΜΕ ΕΠΙΚΡΑΤΟΥΣΑ ΧΡΗΣΗ ΤΗΝ ΚΑΤΟΙΚΙΑ,ΙΕΡΑΤΙΚΗ ΣΧΟΛΗ,SEMINARY,SEMI,78.1,25.825962,52.274038
6101096,https://www.bazaraki.com/adv/6101096_residential-land-7024-m2/?p=21,Residential Field 7024 m²,€1.600.000,1600000,"Limassol, Ypsonas",7024,Κα7,Residential,227.79,34.6886099223458,32.96115453338923,15,tertiary,2.7,flat,LEMESOS,"KOURIO, YPSONAS",763,53,5021V01,1,468,Πα9,ΠΕΡΙΟΧΕΣ ΠΥΡΗΝΩΝ ΚΑΙ ΣΥΝΕΧΟΥΣ ΔΟΜΗΣΗΣ,ΠΟΛΕΜΙΔΙΑ,POLEMIDHIA 132kV,POLE,47.82,25.654125,22.165875
4364369,https://www.bazaraki.com/adv/4364369_agricultural-land-5686-m2/?p=107,Agricultural Field 5686 m²,€7.000,7000,"Limassol, Dora",5686,,Agricultural,1.23,34.79205834539,32.716559772544,,,13.7,moderate,LEMESOS,DORA,80,46,62,0,5403,Ζ1,ΖΩΝΗ ΠΡΟΣΤΑΣΙΑΣ,ΞΕΡΟΠΟΤΑΜΟΣ,XEROPOTAMOS,XERP,17.14,17.11593,0.02407
4729114,https://www.bazaraki.com/adv/4729114_residential-land-3100-m2/?p=74,Residential land 3100 m²,€390.000  €450.000,390000,"Limassol, Moni",3100,,Residential,125.81,34.7278862561934,33.20076667515209,173,residential,4.5,flat,LEMESOS,MONI,403,54,40,0,6349,Ζ1,ΖΩΝΗ ΠΡΟΣΤΑΣΙΑΣ,ΜΟΝΗ,ΜΟΝΙ,MONI,46.610694,46.610694,0
5638295,https://www.bazaraki.com/adv/5638295_residential-land-610-m2/?p=49,Residential land 610 m²,€100.000,100000,"Larnaca, Pyrga Larnakas",610,Η5,Residential,163.93,34.92022679899777,33.43440719052126,86,residential,0.4,flat,LARNAKA,PYRGA LARNAKAS,,,,,,Η5,ΠΕΡΙΟΧΕΣ ΜΕ ΕΠΙΚΡΑΤΟΥΣΑ ΧΡΗΣΗ ΤΗΝ ΚΑΤΟΙΚΙΑ,ΑΛΑΜΠΡΑ,ALAMBRA,ALAM,52.664205,52.664205,0
5898021,https://www.bazaraki.com/adv/5898021_residential-land-527-m2/?p=105,Commercial Plot 527 m²,€590.000,590000,"Limassol, Limassol - Omonia",527,,Commercial,1119.54,34.66666107379795,33.00018036102507,26,tertiary,2.7,flat,LEMESOS,"LEMESOS, LEMESOS",274,58,080304,4,527,Κα5,ΠΕΡΙΟΧΕΣ ΜΕ ΕΠΙΚΡΑΤΟΥΣΑ ΧΡΗΣΗ ΤΗΝ ΚΑΤΟΙΚΙΑ,ΠΟΛΕΜΙΔΙΑ,POLEMIDHIA 132kV,POLE,47.82,25.654125,22.165875
6260353,https://www.bazaraki.com/adv/6260353_agricultural-field-16054-m2/?p=24,Agricultural Field 16054 m²,€15.000,15000,"Paphos, Koili",16054,Γ3,Agricultural,0.93,34.966679,32.442928,47,tertiary,15.7,steep,PAFOS,"POLI CHRYSOCHOUS, KRITOU TERA",696,35,27,0,77761,Ζ1,ΖΩΝΗ ΠΡΟΣΤΑΣΙΑΣ,ΠΟΛΙΣ,POLIS,POLI,22.572338,22.572338,0
5496062,https://www.bazaraki.com/adv/5496062_residential-land-779-m2/?p=24,Residential Plot 779 m²,€85.000,85000,"Nicosia, Palaiometocho",779,Η1,Residential,109.11,35.12239434299675,33.18428992817984,19,residential,3.6,flat,LEFKOSIA,PALAIOMETOCHO,319,0,2-216-387,6,492,Η2,ΚΑΤΟΙΚΙΑ,ΚΟΚΚΙΝΟΤΡΙΜΙΘΙΑ,KOKKINOTRIMITHIA,KOKK,45.368034,45.368034,0
5890903,https://www.bazaraki.com/adv/5890903_commercial-land-842-m2/?p=15,Commercial Plot 842 m²,€2.000.000,2000000,"Limassol, Agios Ioannis Lemesou",842,Eβ2,Commercial,2375.3,34.90140856616347,33.02526491280232,45,tertiary,12.6,moderate,LEMESOS,AG IOANNIS LEMESOU,1016,48,01,0,604,Ζ3,ΖΩΝΗ ΠΡΟΣΤΑΣΙΑΣ,ΚΑΡΒΟΥΝΑΣ,KARVOUNAS,KARV,17.44,2.440986,14.999014
5061457,https://www.bazaraki.com/adv/5061457_residential-land-41800-m2/?p=19,Residential Field 41800 m²,€3.300.000,3300000,"Limassol, Kato Polemidia",41800,,Residential,78.95,34.724265,32.9701443,421,residential,15.3,steep,LEMESOS,"POLEMIDIA, KATO POLEMIDIA",110,53,39,0,39311,Γα4,Αγροτικές Ζώνες,ΠΟΛΕΜΙΔΙΑ,POLEMIDHIA 132kV,POLE,47.82,25.654125,22.165875
6313795,https://www.bazaraki.com/adv/6313795_residential-plot-2523-m2/?p=17,Residential Plot 2523 m²,€225.000,225000,"Paphos, Agia Marinouda",2523,,Residential,89.18,34.766682,32.468842,90,residential,23.4,steep,PAFOS,"IEROKIPIA, GEROSKIPOU",643,51,12,0,16837,Κα9,ΠΕΡΙΟΧΗ ΜΕ ΕΠΙΚΡΑΤΟΥΣΑ ΧΡΗΣΗ ΤΗΝ ΚΑΤΟΙΚΙΑ,ΑΝΑΤΟΛΙΚΟ,ANATOLIKO 66KV,ANAT,23.193488,23.193488,0
6214984,https://www.bazaraki.com/adv/6214984_residential-field-13676-m2/?p=41,Residential Field 13676 m²,€700.000,700000,"Paphos, Prodromi",13676,residential,Residential,51.18,35.024573,32.414216,68,secondary,4.5,flat,PAFOS,"POLI CHRYSOCHOUS, POLI CHRYSOCHOUS",317,26,58,0,13172,Κα9,ΠΕΡΙΟΧΗ ΜΕ ΕΠΙΚΡΑΤΟΥΣΑ ΧΡΗΣΗ ΤΗΝ ΚΑΤΟΙΚΙΑ,ΠΟΛΙΣ,POLIS,POLI,22.572338,22.572338,0
